Designator	Quantity	MF	MP	Description	Value	Package	Type	Instructions	HelpURL	System

"C1, C2, C13, C14, C15, C16"	"6"	"Murata"	"GCM155R71H104KE02D"	"GCM155R71H104KE02D, „ип 0402 X7R 0.1uF +10% 50V, онденсатор"	"0.1u"	"0402"	"SMD"	""	""	""
"DEBUG?"	"1"	"JST Sales"	"SM06B-SRSS-TB_LF__SN_"	"Connector Header Surface Mount, Right Angle 6 position 0.039 _1.00mm_"	""	"None"	""	""	""	"Connector"
"IC1"	"1"	"STMicroelectronics"	"STM32G0B1CEU6"	"Integrated Circuit"	""	""	"SMD"	""	""	""
"LED1"	"1"	""	"LTST-C19HE1WT"	"Blue/Green/Red"	""	""	"SMD"	""	"https://static.chipdip.ru/lib/039/DOC013039662.pdf"	""
"R11, R12, R17"	"3"	"Yageo or NXP"	"RC0402FR-074K7L"	"0.062¬т 0402 4.7 кќм, 1%, „ип резистор (SMD)"	"4.7k"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
"R14, R15, R16"	"3"	"Yageo or NXP"	"RC0402FR-07330RL"	"0.062¬т 0402 330 ќм, 1%, „ип резистор (SMD)"	"330"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
"Rv1"	"1"	"Yageo or NXP"	"RC0402FR-074K3L"	"0.062¬т 0402 4.3 кќм, 1%, „ип резистор (SMD)"	"4.3k"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
"Rv2"	"1"	"Yageo or NXP"	"RC0402FR-072K4L"	"0.062¬т 0402 2.4 кќм, 1%, „ип резистор (SMD)"	"2.4k"	"RC0402"	"SMD"	""	"https://www.chipdip.ru/product0/9000189640"	""
"SWD1"	"1"	"JST Sales"	"SM04B-GHS-TB(LF)(SN)"	"Conn Shrouded Header HDR 4 POS 1.25mm Solder ST SMD Reel"	""	"None"	"SMD"	"DNP"	""	"Connector"
"U1"	"1"	"MaxLinear, Inc."	"SPX3819M5-L-3-3/TR"	"Low Dropout Voltage Regulator, 3.3V 0.5A, ¬±1%, 2.5 to 16 Vin, 5-Pin SOT-23"	"3V3"	"SOT-23-5 Exar"	"SMD"	""	"http://www.farnell.com/datasheets/2614478.pdf"	""
"Y1"	"1"	"Murata"	"CSTCE8M00G55-R0 or CSTCE8M00G52-R0"	"Ceramic Resonator 8MHz ??0.5% _Tol_ ??0.2% _Stability_ 33pF 40Ohm 3-Pin CSMD T/R"	"8MHz"	"SMD-3 Murata"	"SMD"	""	"https://www.murata.com/en-eu/api/pdfdownloadapi?cate=&partno=CSTCE8M00G55-R0"	""
